,Unnamed: 0,Country,Date,Confirmed,Death,Recovered,newConfirmed,newDeath,newRecovered,lat,lng
48489,47560,Suriname,2020-11-06,5227,112,5102,2,0,5,3.9804064,-58.2513017
48721,47850,Sweden,2020-11-06,146461,6022,0,4697,20,0,61.7420918,8.4412106
48953,48140,Switzerland,2020-11-06,211913,2710,87300,9409,82,200,46.7912769,5.9814056
49185,48430,Syria,2020-11-06,6102,309,2254,62,4,59,34.7323425,34.5106638
49417,48720,Taiwan*,2020-11-06,573,7,523,4,0,0,23.4212975,115.5890508
49649,49010,Tajikistan,2020-11-06,11256,83,10546,37,0,52,38.7721511,66.7575596
49881,49300,Tanzania,2020-11-06,509,21,183,0,0,0,-6.3533569,30.4917423
50113,49590,Thailand,2020-11-06,3830,60,3644,12,0,5,13.0003076,96.992706
50345,49880,Timor-Leste,2020-11-06,30,0,29,0,0,0,-8.7827118,123.4845096
50577,50170,Togo,2020-11-06,2460,57,1720,18,0,12,37.4923615,127.0292881
50809,50460,Trinidad and Tobago,2020-11-06,5798,111,5084,24,0,60,10.6946987,-62.3330635
51041,50750,Tunisia,2020-11-06,66334,1577,36727,0,0,0,33.8004294,5.068609
51273,51040,Turkey,2020-11-06,389256,10722,334293,2436,83,1914,38.7412482,26.1844276
51505,51330,Uganda,2020-11-06,13852,131,7727,284,14,82,1.3671057,30.0586288
51737,51620,Ukraine,2020-11-06,453565,8358,203572,9935,210,10970,47.9854715,22.2083201
51969,51910,United Arab Emirates,2020-11-06,139891,510,136936,1292,2,818,24.3374973,51.7118315
52201,52200,United Kingdom,2020-11-06,1149791,48565,2951,23322,355,20,53.2202105,-22.2277193
52433,52490,Uruguay,2020-11-06,3370,61,2853,61,0,39,-32.6005596,-58.0283107
52665,52780,US,2020-11-06,9733816,236073,3810791,126480,1146,29040,31.7860603,-132.0853276
52897,53070,Uzbekistan,2020-11-06,68139,579,65333,130,0,79,41.0303426,55.5858
53129,53360,Venezuela,2020-11-06,94305,821,89099,384,2,398,6.5750365,-75.661121
53361,53650,Vietnam,2020-11-06,1212,35,1070,5,0,1,15.7477194,101.4132682
53593,53940,West Bank and Gaza,2020-11-06,57226,511,49537,554,3,857,37.4923615,127.0292881
53825,54230,Western Sahara,2020-11-06,10,1,8,0,0,0,24.0090272,-17.5575099
54057,54520,Yemen,2020-11-06,2067,602,1375,4,1,0,15.2162729,39.1556584
54289,54810,Zambia,2020-11-06,16819,349,15862,49,0,35,-12.9826532,18.8129711
54521,55100,Zimbabwe,2020-11-06,8471,250,7983,27,2,8,-18.9612787,24.6564995
